Latency (ms), +/- (ms)
3.97, 0.04
0.93, 0.02
7.55, 0.02
1.30, 0.01
5.93, 0.01
6.31, 0.02
7.44, 0.01
2.84, 0.03
2.74, 0.05
0.97, 0.04
7.46, 0.04
1.34, 0.07
3.97, 0.04
7.49, 0.03
0.98, 0.04
5.98, 0.03
7.46, 0.06
5.88, 0.06
4.45, 0.06
7.12, 0.04
7.62, 0.05
7.22, 0.04
7.34, 0.06
1.20, 0.06
2.44, 0.04
7.61, 0.04
1.22, 0.03
6.06, 0.04
0.95, 0.03
2.86, 0.04
0.84, 0.03
2.83, 0.06
3.93, 0.03
4.33, 0.06
2.48, 0.03
4.54, 0.04
7.59, 0.04
4.39, 0.05
4.12, 0.04
6.05, 0.04
1.25, 0.04
4.20, 0.04
4.35, 0.03
4.51, 0.07
5.94, 0.05
1.05, 0.05
7.62, 0.04
5.76, 0.04
1.22, 0.04
2.95, 0.04
2.89, 0.04
2.50, 0.04
4.27, 0.04
7.54, 0.04
4.03, 0.03
2.56, 0.05
1.16, 0.07
4.67, 0.05
0.92, 0.04
6.10, 0.04
7.40, 0.03
4.06, 0.03
2.56, 0.04
7.62, 0.06
5.47, 0.03
1.21, 0.05
2.41, 0.04
7.77, 0.05
0.84, 0.04
4.19, 0.04
2.91, 0.03
7.35, 0.03
5.93, 0.06
5.74, 0.04
2.40, 0.03
7.71, 0.04
4.42, 0.07
4.41, 0.05
5.74, 0.04
2.79, 0.06
0.82, 0.03
5.67, 0.04
5.67, 0.03
4.49, 0.04
5.70, 0.03
1.18, 0.04
4.23, 0.03
4.37, 0.06
5.63, 0.04
5.75, 0.03
2.73, 0.05
2.88, 0.06
5.79, 0.05
0.86, 0.04
5.74, 0.03
4.15, 0.03
2.50, 0.04
7.47, 0.04
1.17, 0.04
2.59, 0.05
