Latency (ms), +/- (ms)
26.86, 0.07
16.60, 0.09
36.59, 0.07
29.56, 0.02
21.27, 0.03
36.76, 0.02
23.53, 0.08
35.73, 0.08
25.87, 0.06
27.58, 0.04
24.39, 0.04
27.69, 0.03
19.76, 0.07
29.76, 0.04
27.94, 0.06
28.56, 0.04
14.06, 0.03
34.67, 0.03
12.49, 0.06
41.47, 0.03
23.08, 0.04
23.75, 0.02
35.43, 0.02
29.78, 0.03
27.38, 0.06
40.10, 0.06
22.25, 0.05
19.64, 0.06
31.56, 0.04
22.39, 0.05
18.35, 0.04
40.57, 0.04
29.04, 0.04
27.32, 0.05
36.89, 0.03
39.65, 0.06
24.49, 0.01
17.34, 0.01
27.25, 0.03
39.10, 0.01
27.16, 0.06
23.66, 0.04
37.59, 0.07
12.98, 0.05
19.94, 0.06
21.64, 0.03
65.49, 0.05
