Latency (ms), +/- (ms)
24.87, 0.06
23.14, 0.04
15.24, 0.04
14.82, 0.03
8.24, 0.04
25.44, 0.06
13.14, 0.04
24.27, 0.06
21.03, 0.06
19.36, 0.03
8.57, 0.03
22.55, 0.03
23.96, 0.05
5.21, 0.06
11.84, 0.03
10.40, 0.04
16.89, 0.05
16.71, 0.04
4.28, 0.03
10.85, 0.01
21.69, 0.01
22.86, 0.01
17.07, 0.01
18.28, 0.01
13.39, 0.01
19.02, 0.01
14.27, 0.04
18.02, 0.01
5.18, 0.03
10.21, 0.01
22.92, 0.04
6.48, 0.04
15.28, 0.05
25.07, 0.05
13.88, 0.04
13.42, 0.04
23.56, 0.04
3.59, 0.03
17.02, 0.04
6.86, 0.03
19.57, 0.04
12.66, 0.06
21.26, 0.04
17.26, 0.05
21.63, 0.04
23.07, 0.03
24.80, 0.04
16.02, 0.03
5.77, 0.03
7.83, 0.04
10.64, 0.04
7.14, 0.03
7.42, 0.03
14.51, 0.03
9.97, 0.05
7.11, 0.03
9.19, 0.06
6.50, 0.04
14.76, 0.05
8.25, 0.04
18.36, 0.04
4.42, 0.03
12.61, 0.03
19.41, 0.05
23.86, 0.05
12.91, 0.03
23.11, 0.03
24.06, 0.03
14.69, 0.03
8.07, 0.03
20.28, 0.06
19.05, 0.04
7.28, 0.06
5.04, 0.04
25.78, 0.05
16.37, 0.03
9.84, 0.04
10.72, 0.03
17.59, 0.04
19.85, 0.03
24.32, 0.02
11.91, 0.06
9.31, 0.04
11.25, 0.04
18.05, 0.05
19.85, 0.04
5.82, 0.03
13.71, 0.03
19.78, 0.03
10.51, 0.05
21.48, 0.03
22.76, 0.04
5.11, 0.03
16.67, 0.03
12.15, 0.03
7.02, 0.06
7.52, 0.04
21.11, 0.06
10.88, 0.04
12.88, 0.05
