Latency (ms), +/- (ms)
1.46, 0.03
0.96, 0.02
1.23, 0.04
1.03, 0.01
1.34, 0.02
1.04, 0.01
1.25, 0.02
1.54, 0.01
1.44, 0.03
0.92, 0.03
1.08, 0.04
1.15, 0.03
0.87, 0.04
1.03, 0.03
1.55, 0.06
1.63, 0.06
1.24, 0.03
0.96, 0.03
1.20, 0.03
1.22, 0.04
1.46, 0.04
0.69, 0.03
1.10, 0.03
1.12, 0.03
1.61, 0.03
0.80, 0.03
1.15, 0.03
0.94, 0.03
1.13, 0.03
1.47, 0.03
1.35, 0.05
1.63, 0.04
1.14, 0.03
0.69, 0.03
1.55, 0.03
1.04, 0.04
0.75, 0.06
1.04, 0.04
1.59, 0.03
1.30, 0.04
0.72, 0.03
1.29, 0.03
1.00, 0.03
0.81, 0.05
1.42, 0.03
0.66, 0.03
1.35, 0.04
1.47, 0.06
1.12, 0.04
0.71, 0.04
1.33, 0.04
0.70, 0.03
1.49, 0.03
1.40, 0.05
1.00, 0.04
1.44, 0.04
1.60, 0.04
1.28, 0.03
1.15, 0.04
1.06, 0.03
1.40, 0.05
0.73, 0.03
0.85, 0.03
0.87, 0.04
1.52, 0.03
1.62, 0.06
0.86, 0.05
0.86, 0.03
1.34, 0.03
1.47, 0.04
0.87, 0.03
0.81, 0.04
1.33, 0.03
1.68, 0.03
1.08, 0.04
0.99, 0.06
1.09, 0.03
1.30, 0.04
1.58, 0.03
1.09, 0.04
0.84, 0.03
0.81, 0.03
0.94, 0.04
1.36, 0.05
1.27, 0.03
1.49, 0.03
0.65, 0.03
0.71, 0.03
0.91, 0.03
1.50, 0.03
1.24, 0.03
1.53, 0.05
0.88, 0.03
1.55, 0.04
0.77, 0.05
1.16, 0.05
1.55, 0.03
0.76, 0.04
1.07, 0.03
0.92, 0.04
