Latency (ms), +/- (ms)
1.10, 0.07
1.09, 0.05
1.36, 0.04
1.05, 0.03
1.22, 0.03
1.65, 0.03
0.78, 0.01
1.11, 0.01
1.35, 0.07
0.85, 0.06
1.46, 0.06
1.03, 0.04
0.68, 0.03
1.58, 0.04
1.03, 0.04
1.41, 0.03
1.63, 0.03
1.38, 0.04
1.62, 0.03
0.93, 0.08
1.05, 0.06
1.08, 0.04
1.65, 0.07
0.94, 0.04
1.32, 0.03
1.41, 0.03
1.60, 0.06
1.37, 0.03
0.94, 0.07
1.40, 0.06
1.69, 0.05
1.18, 0.07
1.66, 0.03
1.25, 0.04
1.25, 0.04
1.42, 0.04
1.65, 0.04
0.96, 0.03
0.82, 0.07
0.80, 0.04
0.85, 0.03
0.73, 0.03
1.27, 0.08
0.87, 0.04
0.90, 0.05
1.25, 0.03
1.43, 0.07
1.50, 0.04
1.09, 0.07
0.80, 0.03
0.77, 0.01
1.01, 0.02
1.28, 0.01
1.19, 0.07
1.63, 0.04
1.51, 0.08
1.10, 0.08
1.36, 0.04
1.36, 0.05
0.92, 0.07
1.63, 0.04
1.10, 0.02
1.65, 0.06
1.43, 0.04
1.41, 0.04
1.33, 0.03
0.97, 0.07
0.86, 0.03
1.31, 0.07
1.42, 0.03
1.67, 0.06
1.44, 0.06
1.70, 0.08
1.40, 0.08
1.35, 0.07
1.14, 0.07
1.04, 0.04
1.12, 0.01
1.11, 0.03
0.88, 0.06
0.85, 0.04
0.99, 0.06
1.72, 0.06
1.38, 0.05
0.96, 0.04
0.85, 0.04
1.66, 0.03
1.68, 0.04
1.31, 0.07
0.98, 0.03
1.13, 0.04
1.47, 0.06
1.02, 0.06
1.29, 0.07
1.58, 0.06
1.57, 0.04
0.88, 0.04
0.79, 0.03
1.34, 0.05
1.14, 0.04
