Latency (ms), +/- (ms)
1.76, 0.07
1.31, 0.04
1.68, 0.05
1.65, 0.07
1.30, 0.07
1.89, 0.03
1.78, 0.04
1.35, 0.06
1.17, 0.04
2.04, 0.05
1.99, 0.05
1.75, 0.03
2.05, 0.05
1.30, 0.08
2.20, 0.07
1.84, 0.05
1.59, 0.07
2.05, 0.08
1.46, 0.01
1.52, 0.03
1.29, 0.03
1.95, 0.04
1.29, 0.04
2.19, 0.07
1.81, 0.03
1.83, 0.03
1.80, 0.07
1.70, 0.04
1.67, 0.03
1.90, 0.03
2.19, 0.07
1.71, 0.03
1.21, 0.04
1.31, 0.05
2.02, 0.07
2.22, 0.08
1.53, 0.06
1.50, 0.04
1.47, 0.04
1.90, 0.03
1.97, 0.07
1.35, 0.07
2.03, 0.03
1.59, 0.07
1.69, 0.04
2.00, 0.07
1.28, 0.07
1.94, 0.05
1.86, 0.04
1.73, 0.07
1.36, 0.03
1.51, 0.06
1.31, 0.03
1.52, 0.03
1.34, 0.01
1.59, 0.04
1.37, 0.07
1.75, 0.06
1.79, 0.04
1.57, 0.04
1.62, 0.04
1.38, 0.04
1.43, 0.03
1.52, 0.05
2.04, 0.05
1.92, 0.04
2.06, 0.04
1.17, 0.03
1.32, 0.03
1.62, 0.07
1.68, 0.04
1.56, 0.04
2.03, 0.06
1.70, 0.07
1.59, 0.04
2.18, 0.06
1.96, 0.03
2.04, 0.04
1.42, 0.04
1.25, 0.03
1.36, 0.04
1.71, 0.03
1.53, 0.07
2.09, 0.07
1.92, 0.06
1.55, 0.06
1.31, 0.04
1.72, 0.04
1.60, 0.07
1.78, 0.04
1.75, 0.04
1.87, 0.04
1.25, 0.04
1.96, 0.03
2.09, 0.04
2.04, 0.04
1.21, 0.04
1.69, 0.06
1.17, 0.03
1.67, 0.04
