Latency (ms), +/- (ms)
1.43, 0.03
1.57, 0.04
1.16, 0.04
1.41, 0.04
1.90, 0.03
1.74, 0.06
2.03, 0.06
1.18, 0.05
2.02, 0.04
1.83, 0.04
1.34, 0.04
1.81, 0.04
1.49, 0.06
1.65, 0.08
1.56, 0.05
1.29, 0.08
1.44, 0.03
1.19, 0.04
1.55, 0.04
1.81, 0.06
1.43, 0.05
1.57, 0.04
2.09, 0.04
1.69, 0.06
1.53, 0.07
1.57, 0.05
1.85, 0.03
1.37, 0.07
1.31, 0.04
1.27, 0.01
1.13, 0.05
1.33, 0.06
1.92, 0.04
1.93, 0.07
1.56, 0.07
1.36, 0.04
1.88, 0.04
1.55, 0.04
1.33, 0.03
1.30, 0.08
1.93, 0.05
1.79, 0.03
1.72, 0.04
1.84, 0.03
2.11, 0.07
1.64, 0.04
1.42, 0.03
1.78, 0.06
1.80, 0.03
1.80, 0.04
1.55, 0.06
2.00, 0.04
1.30, 0.03
1.67, 0.04
1.47, 0.06
1.63, 0.03
1.69, 0.08
1.49, 0.05
2.05, 0.04
1.55, 0.03
2.03, 0.07
1.93, 0.07
1.56, 0.01
1.25, 0.04
2.02, 0.03
1.91, 0.07
2.19, 0.07
1.31, 0.03
1.29, 0.04
1.52, 0.03
1.30, 0.05
1.38, 0.05
1.36, 0.06
1.86, 0.04
1.27, 0.08
2.01, 0.04
1.25, 0.04
2.06, 0.07
1.35, 0.04
1.45, 0.03
2.06, 0.03
1.38, 0.06
1.75, 0.03
1.56, 0.05
1.88, 0.08
1.97, 0.07
2.09, 0.08
1.93, 0.04
1.17, 0.03
2.24, 0.07
1.46, 0.04
1.31, 0.03
1.13, 0.01
1.32, 0.03
2.10, 0.05
1.73, 0.07
1.25, 0.03
1.77, 0.03
1.88, 0.06
1.55, 0.04
