Latency (ms), +/- (ms)
4.46, 0.03
9.05, 0.02
15.55, 0.03
2.18, 0.03
13.71, 0.02
9.71, 0.02
10.57, 0.01
11.93, 0.04
10.89, 0.04
14.63, 0.04
9.85, 0.07
12.50, 0.03
6.31, 0.06
9.17, 0.05
15.85, 0.05
14.96, 0.04
14.01, 0.04
6.68, 0.04
6.38, 0.05
10.95, 0.04
16.43, 0.04
2.51, 0.04
13.27, 0.03
5.55, 0.03
12.18, 0.04
8.90, 0.06
5.38, 0.04
5.76, 0.06
8.48, 0.04
8.63, 0.04
11.49, 0.05
11.03, 0.04
14.24, 0.05
8.08, 0.05
7.55, 0.05
14.40, 0.04
2.26, 0.07
16.13, 0.04
1.85, 0.04
15.70, 0.04
15.81, 0.05
3.65, 0.04
16.47, 0.04
5.02, 0.04
12.92, 0.05
9.01, 0.04
10.74, 0.03
4.52, 0.04
5.39, 0.04
14.82, 0.04
14.41, 0.03
13.52, 0.03
10.32, 0.03
2.00, 0.06
12.18, 0.05
4.78, 0.04
16.25, 0.03
11.88, 0.05
6.79, 0.07
11.82, 0.03
14.19, 0.04
9.34, 0.04
5.20, 0.05
9.65, 0.03
15.22, 0.06
3.09, 0.04
4.96, 0.07
13.72, 0.05
9.71, 0.05
17.45, 0.04
7.11, 0.07
15.57, 0.05
11.42, 0.05
4.09, 0.04
10.25, 0.04
9.65, 0.05
2.83, 0.05
12.98, 0.05
7.77, 0.03
13.41, 0.04
2.40, 0.02
4.70, 0.06
2.61, 0.05
3.16, 0.05
3.79, 0.04
6.11, 0.03
11.59, 0.04
7.31, 0.03
9.93, 0.04
6.82, 0.03
6.18, 0.04
2.62, 0.05
4.28, 0.06
7.33, 0.07
14.79, 0.03
3.45, 0.05
7.45, 0.05
4.56, 0.05
12.23, 0.05
6.68, 0.03
