Latency (ms), +/- (ms)
4.52, 0.07
4.01, 0.05
8.07, 0.04
8.23, 0.04
2.32, 0.04
6.39, 0.05
1.75, 0.04
3.01, 0.08
3.96, 0.04
8.81, 0.04
3.50, 0.04
5.37, 0.03
7.07, 0.03
8.86, 0.08
9.65, 0.05
6.83, 0.05
7.31, 0.07
12.83, 0.05
5.41, 0.01
3.29, 0.03
8.74, 0.03
7.80, 0.05
7.85, 0.07
9.30, 0.04
6.87, 0.04
7.84, 0.03
3.49, 0.07
4.69, 0.04
3.65, 0.03
11.35, 0.04
8.53, 0.05
5.58, 0.04
6.30, 0.03
6.26, 0.07
9.90, 0.05
8.31, 0.04
6.63, 0.03
6.19, 0.06
2.70, 0.04
2.59, 0.07
8.35, 0.03
5.58, 0.03
11.92, 0.03
3.46, 0.04
7.16, 0.03
3.29, 0.04
6.23, 0.03
8.29, 0.07
6.23, 0.06
9.07, 0.07
5.16, 0.02
9.25, 0.03
3.14, 0.03
7.64, 0.04
5.67, 0.03
3.98, 0.04
3.69, 0.03
3.84, 0.06
4.56, 0.04
2.98, 0.03
2.54, 0.06
6.39, 0.04
6.75, 0.03
5.72, 0.05
5.29, 0.04
3.81, 0.07
3.22, 0.03
6.51, 0.03
6.15, 0.03
7.10, 0.10
6.48, 0.03
5.51, 0.04
6.43, 0.03
7.09, 0.05
4.88, 0.03
3.69, 0.05
11.91, 0.07
3.89, 0.04
6.31, 0.03
2.21, 0.03
5.84, 0.04
2.67, 0.04
8.50, 0.04
4.57, 0.08
11.93, 0.08
6.75, 0.03
8.34, 0.04
6.74, 0.07
9.35, 0.05
9.91, 0.03
9.37, 0.04
10.87, 0.01
8.83, 0.05
7.03, 0.04
4.46, 0.05
9.50, 0.04
8.92, 0.08
7.88, 0.04
5.03, 0.03
7.52, 0.03
