Latency (ms), +/- (ms)
4.09, 0.07
2.45, 0.05
3.11, 0.06
2.47, 0.10
2.65, 0.04
2.62, 0.03
3.07, 0.03
3.05, 0.04
2.75, 0.06
3.59, 0.05
3.44, 0.04
3.05, 0.04
3.67, 0.04
2.31, 0.05
2.54, 0.07
3.12, 0.03
9.12, 0.03
3.05, 0.05
2.54, 0.05
3.30, 0.04
3.33, 0.03
2.96, 0.03
3.19, 0.03
3.23, 0.03
3.40, 0.06
3.37, 0.03
3.56, 0.03
2.89, 0.04
2.97, 0.04
3.31, 0.03
3.13, 0.03
2.81, 0.07
3.14, 0.05
2.60, 0.03
2.73, 0.05
2.94, 0.03
3.20, 0.07
3.47, 0.03
2.87, 0.04
3.59, 0.04
2.92, 0.05
2.59, 0.03
2.48, 0.03
2.27, 0.04
2.22, 0.03
2.32, 0.03
2.57, 0.07
2.91, 0.05
3.40, 0.03
3.52, 0.04
4.57, 0.04
3.58, 0.03
3.49, 0.03
8.74, 0.04
2.89, 0.04
3.69, 0.03
2.30, 0.03
2.92, 0.03
2.79, 0.04
2.45, 0.05
3.16, 0.03
3.29, 0.03
3.19, 0.04
2.48, 0.03
3.19, 0.06
3.19, 0.04
2.95, 0.03
3.60, 0.04
3.82, 0.04
3.25, 0.03
2.98, 0.06
2.41, 0.05
2.72, 0.04
3.07, 0.03
3.05, 0.03
3.27, 0.04
3.37, 0.04
4.82, 0.03
2.92, 0.03
3.50, 0.06
2.94, 0.04
2.84, 0.03
3.62, 0.05
3.71, 0.04
3.31, 0.03
2.39, 0.04
3.11, 0.03
2.96, 0.03
3.11, 0.04
3.21, 0.03
2.81, 0.03
2.67, 0.04
3.36, 0.06
3.43, 0.03
3.73, 0.03
3.80, 0.06
3.62, 0.04
2.18, 0.03
2.93, 0.03
2.99, 0.04
