Latency (ms), +/- (ms)
1.62, 0.08
1.00, 0.06
0.87, 0.06
1.38, 0.04
0.93, 0.05
1.06, 0.04
0.78, 0.05
1.39, 0.04
0.68, 0.03
0.97, 0.03
0.96, 0.03
1.34, 0.07
1.09, 0.03
1.59, 0.03
1.01, 0.03
1.06, 0.03
1.47, 0.05
0.92, 0.04
1.63, 0.05
1.08, 0.03
0.74, 0.03
1.12, 0.07
1.19, 0.07
1.23, 0.04
1.10, 0.04
1.28, 0.03
1.55, 0.04
1.60, 0.04
1.40, 0.03
1.13, 0.03
0.89, 0.04
0.80, 0.03
1.65, 0.06
1.61, 0.03
1.52, 0.03
0.84, 0.03
1.64, 0.03
0.77, 0.03
1.41, 0.04
0.69, 0.03
1.37, 0.04
0.88, 0.05
1.48, 0.03
0.69, 0.03
1.14, 0.04
1.38, 0.05
1.32, 0.03
0.69, 0.04
1.02, 0.04
1.37, 0.03
1.26, 0.03
1.56, 0.03
1.13, 0.03
1.07, 0.04
0.71, 0.03
1.48, 0.03
0.96, 0.04
1.23, 0.03
1.73, 0.06
1.11, 0.04
1.60, 0.04
0.96, 0.03
1.55, 0.05
1.21, 0.03
0.77, 0.04
0.71, 0.03
1.21, 0.03
1.14, 0.05
1.35, 0.08
1.54, 0.03
0.76, 0.04
0.91, 0.04
0.94, 0.03
1.28, 0.03
1.48, 0.03
0.96, 0.03
1.05, 0.03
0.89, 0.04
1.43, 0.04
1.61, 0.05
1.50, 0.04
1.30, 0.03
0.90, 0.03
0.86, 0.03
1.47, 0.04
1.13, 0.03
0.66, 0.03
1.62, 0.03
1.34, 0.03
1.07, 0.03
1.19, 0.03
1.21, 0.03
1.39, 0.06
1.44, 0.03
0.86, 0.03
1.28, 0.03
1.52, 0.03
0.89, 0.03
0.83, 0.04
1.10, 0.04
