Latency (ms), +/- (ms)
5.32, 0.07
5.27, 0.04
6.25, 0.09
5.28, 0.04
6.17, 0.09
5.83, 0.07
6.18, 0.05
4.48, 0.02
5.07, 0.07
4.73, 0.04
4.86, 0.04
5.41, 0.04
5.31, 0.03
5.42, 0.05
5.22, 0.08
5.88, 0.04
5.80, 0.07
5.96, 0.07
5.70, 0.05
5.49, 0.03
4.51, 0.02
4.43, 0.01
5.04, 0.02
5.24, 0.07
5.34, 0.07
5.43, 0.03
5.21, 0.04
5.40, 0.06
5.23, 0.04
5.47, 0.07
5.77, 0.08
5.48, 0.05
4.49, 0.05
4.55, 0.04
4.94, 0.04
5.54, 0.04
5.54, 0.03
5.12, 0.05
5.33, 0.05
5.82, 0.04
5.78, 0.04
5.09, 0.03
5.15, 0.03
5.45, 0.07
5.52, 0.04
5.97, 0.04
5.72, 0.03
5.20, 0.08
4.62, 0.04
5.65, 0.05
5.08, 0.04
5.49, 0.04
4.94, 0.03
5.44, 0.03
5.05, 0.04
5.60, 0.07
5.88, 0.05
5.68, 0.03
5.54, 0.05
5.68, 0.04
5.92, 0.03
4.87, 0.07
4.97, 0.03
4.66, 0.04
5.31, 0.03
5.74, 0.05
5.10, 0.04
5.15, 0.03
5.68, 0.04
5.89, 0.05
5.86, 0.03
6.26, 0.07
6.23, 0.07
6.16, 0.04
5.04, 0.05
4.52, 0.03
5.58, 0.05
4.75, 0.05
4.75, 0.03
5.72, 0.04
5.45, 0.04
5.10, 0.05
5.37, 0.03
5.98, 0.05
5.71, 0.03
6.07, 0.05
5.91, 0.04
5.47, 0.04
4.76, 0.04
4.72, 0.04
5.43, 0.03
5.06, 0.03
5.21, 0.03
5.23, 0.03
5.59, 0.03
5.37, 0.05
4.95, 0.03
5.89, 0.04
5.33, 0.03
5.59, 0.04
